seed,gamma,sigma_epsilon,L,N_code,epsilon,mode,total_resources,converged,final_error,n_rounds,M_max_used,timestamp
3,0.0000000000e+00,0.0000000000e+00,1,3,8.2272413417e-04,sequential,92340,True,1.0675596836e-04,11,552,2026-05-04T07:12:19.538569
3,0.0000000000e+00,0.0000000000e+00,1,3,9.2491472772e-04,sequential,92340,True,1.0675596836e-04,11,491,2026-05-04T07:12:19.538670
3,0.0000000000e+00,0.0000000000e+00,1,3,1.0397984185e-03,sequential,92340,True,1.0675596836e-04,11,437,2026-05-04T07:12:19.538770
3,0.0000000000e+00,0.0000000000e+00,1,3,1.1689518165e-03,sequential,92340,True,1.0675596836e-04,11,388,2026-05-04T07:12:19.538869
3,0.0000000000e+00,0.0000000000e+00,1,3,1.3141473626e-03,sequential,92340,True,1.0675596836e-04,11,346,2026-05-04T07:12:19.538969
3,0.0000000000e+00,0.0000000000e+00,1,3,1.4773776526e-03,sequential,92340,False,1.0844621484e-02,11,307,2026-05-04T07:12:19.539069
3,0.0000000000e+00,0.0000000000e+00,1,3,1.6608827826e-03,sequential,46170,True,8.7374636230e-04,10,274,2026-05-04T07:12:19.539161
3,0.0000000000e+00,0.0000000000e+00,1,3,1.8671810913e-03,sequential,46170,True,8.7374636230e-04,10,243,2026-05-04T07:12:19.539253
3,0.0000000000e+00,0.0000000000e+00,1,3,2.0991037201e-03,sequential,46170,True,8.7374636230e-04,10,217,2026-05-04T07:12:19.539345
3,0.0000000000e+00,0.0000000000e+00,1,3,2.3598334668e-03,sequential,46170,False,1.0077631090e-02,10,193,2026-05-04T07:12:19.539475
3,0.0000000000e+00,0.0000000000e+00,1,3,2.6529484644e-03,sequential,46170,True,8.7374636230e-04,10,171,2026-05-04T07:12:19.539568
3,0.0000000000e+00,0.0000000000e+00,1,3,2.9824712862e-03,sequential,46170,True,8.7374636230e-04,10,153,2026-05-04T07:12:19.539660
3,0.0000000000e+00,0.0000000000e+00,1,3,3.3529241492e-03,sequential,23040,True,2.4077271502e-03,9,136,2026-05-04T07:12:19.539744
3,0.0000000000e+00,0.0000000000e+00,1,3,3.7693909754e-03,sequential,23040,True,2.4077271502e-03,9,121,2026-05-04T07:12:19.539828
3,0.0000000000e+00,0.0000000000e+00,1,3,4.2375871606e-03,sequential,23040,True,2.4077271502e-03,9,108,2026-05-04T07:12:19.539912
3,0.0000000000e+00,0.0000000000e+00,1,3,4.7639380104e-03,sequential,23040,True,2.4077271502e-03,9,96,2026-05-04T07:12:19.539996
3,0.0000000000e+00,0.0000000000e+00,1,3,5.3556669177e-03,sequential,23040,True,2.4077271502e-03,9,85,2026-05-04T07:12:19.540080
3,0.0000000000e+00,0.0000000000e+00,1,3,6.0208944933e-03,sequential,23040,True,2.4077271502e-03,9,76,2026-05-04T07:12:19.540165
3,0.0000000000e+00,0.0000000000e+00,1,3,6.7687500095e-03,sequential,11520,True,6.6023442559e-04,8,67,2026-05-04T07:12:19.540242
3,0.0000000000e+00,0.0000000000e+00,1,3,7.6094966855e-03,sequential,11520,True,6.6023442559e-04,8,60,2026-05-04T07:12:19.540318
3,0.0000000000e+00,0.0000000000e+00,1,3,8.5546725356e-03,sequential,11520,False,1.1611611877e-02,8,54,2026-05-04T07:12:19.540398
3,0.0000000000e+00,0.0000000000e+00,1,3,9.6172487112e-03,sequential,11520,True,6.6023442559e-04,8,48,2026-05-04T07:12:19.540473
3,0.0000000000e+00,0.0000000000e+00,1,3,1.0811807511e-02,sequential,11520,True,1.1611611877e-02,8,42,2026-05-04T07:12:19.540550
3,0.0000000000e+00,0.0000000000e+00,1,3,1.2154742501e-02,sequential,11520,True,6.6023442559e-04,8,38,2026-05-04T07:12:19.540626
3,0.0000000000e+00,0.0000000000e+00,1,3,1.3664483493e-02,sequential,5760,True,6.7961575771e-03,7,34,2026-05-04T07:12:19.540694
3,0.0000000000e+00,0.0000000000e+00,1,3,1.5361749467e-02,sequential,5760,True,6.7961575771e-03,7,30,2026-05-04T07:12:19.540762
3,0.0000000000e+00,0.0000000000e+00,1,3,1.7269832907e-02,sequential,5760,True,6.7961575771e-03,7,27,2026-05-04T07:12:19.540830
3,0.0000000000e+00,0.0000000000e+00,1,3,1.9414919457e-02,sequential,5760,True,1.7747535029e-02,7,24,2026-05-04T07:12:19.540898
3,0.0000000000e+00,0.0000000000e+00,1,3,2.1826447284e-02,sequential,5760,True,1.7747535029e-02,7,21,2026-05-04T07:12:19.540966
3,0.0000000000e+00,0.0000000000e+00,1,3,2.4537511066e-02,sequential,5760,True,1.7747535029e-02,7,19,2026-05-04T07:12:19.541035
3,0.0000000000e+00,0.0000000000e+00,1,3,2.7585316176e-02,sequential,2880,True,1.9068003880e-02,6,17,2026-05-04T07:12:19.541095
3,0.0000000000e+00,0.0000000000e+00,1,3,3.1011689266e-02,sequential,2880,True,3.0019381332e-02,6,15,2026-05-04T07:12:19.541155
3,0.0000000000e+00,0.0000000000e+00,1,3,3.4863652277e-02,sequential,2880,True,3.0019381332e-02,6,14,2026-05-04T07:12:19.541215
3,0.0000000000e+00,0.0000000000e+00,1,3,3.9194067748e-02,sequential,2880,True,1.9068003880e-02,6,12,2026-05-04T07:12:19.541275
3,0.0000000000e+00,0.0000000000e+00,1,3,4.4062364278e-02,sequential,2880,True,1.9068003880e-02,6,11,2026-05-04T07:12:19.541335
3,0.0000000000e+00,0.0000000000e+00,1,3,4.9535352090e-02,sequential,1440,True,5.4563073938e-02,5,10,2026-05-04T07:12:19.541387
3,0.0000000000e+00,0.0000000000e+00,1,3,5.5688139909e-02,sequential,1440,True,4.3611696486e-02,5,9,2026-05-04T07:12:19.541441
3,0.0000000000e+00,0.0000000000e+00,1,3,6.2605165720e-02,sequential,1440,True,5.4563073938e-02,5,8,2026-05-04T07:12:19.541493
3,0.0000000000e+00,0.0000000000e+00,1,3,7.0381355549e-02,sequential,1440,True,4.3611696486e-02,5,7,2026-05-04T07:12:19.541545
3,0.0000000000e+00,0.0000000000e+00,1,3,7.9123426190e-02,sequential,1440,True,4.3611696486e-02,5,6,2026-05-04T07:12:19.541598
3,0.0000000000e+00,0.0000000000e+00,1,3,8.8951349731e-02,sequential,1440,True,4.3611696486e-02,5,6,2026-05-04T07:12:19.541650
3,0.0000000000e+00,0.0000000000e+00,1,3,1.0000000000e-01,sequential,720,True,5.4756887260e-03,4,5,2026-05-04T07:12:19.541694
7,0.0000000000e+00,0.0000000000e+00,1,3,1.0000000000e-04,sequential,737730,True,1.0882169114e-05,14,4535,2026-05-04T07:12:19.595593
7,0.0000000000e+00,0.0000000000e+00,1,3,1.1242100351e-04,sequential,737730,False,1.0940495283e-02,14,4034,2026-05-04T07:12:19.595801
