seed,gamma,h,L,N_code,epsilon,mode,total_resources,converged,final_error,n_accepted,n_rejected,acceptance_rate,n_syndrome_used,mean_d,timestamp
5,1.0000000000e-02,0.0000000000e+00,1,3,1.6608827826e-03,error_detected,443640,True,1.0907649994e-05,500,2,9.9601593625e-01,0,0.0000000000e+00,2026-04-29T19:58:17.041685
5,1.0000000000e-02,0.0000000000e+00,1,3,1.8671810913e-03,error_detected,40105557,False,2.0945441723e+00,49904,96,9.9808000000e-01,0,0.0000000000e+00,2026-04-29T19:58:30.382177
5,1.0000000000e-02,0.0000000000e+00,1,3,2.0991037201e-03,error_detected,70071,True,1.0907649994e-05,100,0,1.0000000000e+00,0,0.0000000000e+00,2026-04-29T19:58:30.436070
5,1.0000000000e-02,0.0000000000e+00,1,3,2.3598334668e-03,error_detected,63582,True,1.0907649994e-05,100,0,1.0000000000e+00,0,0.0000000000e+00,2026-04-29T19:58:30.488877
5,1.0000000000e-02,0.0000000000e+00,1,3,2.6529484644e-03,error_detected,845574,True,1.0907649994e-05,1500,0,1.0000000000e+00,0,0.0000000000e+00,2026-04-29T19:58:30.968799
5,1.0000000000e-02,0.0000000000e+00,1,3,2.9824712862e-03,error_detected,152526,True,3.7044286728e-05,300,0,1.0000000000e+00,0,0.0000000000e+00,2026-04-29T19:58:31.093412
5,1.0000000000e-02,0.0000000000e+00,1,3,3.3529241492e-03,error_detected,274110,True,1.0907649994e-05,600,0,1.0000000000e+00,0,0.0000000000e+00,2026-04-29T19:58:31.311382
5,1.0000000000e-02,0.0000000000e+00,1,3,3.7693909754e-03,error_detected,19975314,False,2.0945441723e+00,49921,79,9.9842000000e-01,0,0.0000000000e+00,2026-04-29T19:58:44.725969
5,1.0000000000e-02,0.0000000000e+00,1,3,4.2375871606e-03,error_detected,35142,True,1.0678172112e-04,100,0,1.0000000000e+00,0,0.0000000000e+00,2026-04-29T19:58:44.775231
5,1.0000000000e-02,0.0000000000e+00,1,3,4.7639380104e-03,error_detected,498699,True,1.0907649994e-05,1600,1,9.9937539038e-01,0,0.0000000000e+00,2026-04-29T19:58:45.259283
5,1.0000000000e-02,0.0000000000e+00,1,3,5.3556669177e-03,error_detected,14023698,False,3.1414599419e+00,49908,92,9.9816000000e-01,0,0.0000000000e+00,2026-04-29T19:58:58.634772
5,1.0000000000e-02,0.0000000000e+00,1,3,6.0208944933e-03,error_detected,12556905,False,4.4695276022e-01,49920,80,9.9840000000e-01,0,0.0000000000e+00,2026-04-29T19:59:11.830967
5,1.0000000000e-02,0.0000000000e+00,1,3,6.7687500095e-03,error_detected,24180,True,8.4966421127e-05,100,0,1.0000000000e+00,0,0.0000000000e+00,2026-04-29T19:59:11.878686
5,1.0000000000e-02,0.0000000000e+00,1,3,7.6094966855e-03,error_detected,59076,True,3.7044286728e-05,300,1,9.9667774086e-01,0,0.0000000000e+00,2026-04-29T19:59:11.986458
5,1.0000000000e-02,0.0000000000e+00,1,3,8.5546725356e-03,error_detected,300705,True,3.7044286728e-05,1700,5,9.9706744868e-01,0,0.0000000000e+00,2026-04-29T19:59:12.461922
5,1.0000000000e-02,0.0000000000e+00,1,3,9.6172487112e-03,error_detected,14454,True,8.4966421127e-05,100,0,1.0000000000e+00,0,0.0000000000e+00,2026-04-29T19:59:12.506588
5,1.0000000000e-02,0.0000000000e+00,1,3,1.0811807511e-02,error_detected,28686,True,3.7044286728e-05,200,0,1.0000000000e+00,0,0.0000000000e+00,2026-04-29T19:59:12.581721
5,1.0000000000e-02,0.0000000000e+00,1,3,1.2154742501e-02,error_detected,240360,True,5.8829784393e-05,1900,4,9.9789915966e-01,0,0.0000000000e+00,2026-04-29T19:59:13.092494
5,1.0000000000e-02,0.0000000000e+00,1,3,1.3664483493e-02,error_detected,33213,True,8.4966421127e-05,300,1,9.9667774086e-01,0,0.0000000000e+00,2026-04-29T19:59:13.189362
5,1.0000000000e-02,0.0000000000e+00,1,3,1.5361749467e-02,error_detected,10392,True,8.5195899010e-04,100,1,9.9009900990e-01,0,0.0000000000e+00,2026-04-29T19:59:13.230790
5,1.0000000000e-02,0.0000000000e+00,1,3,1.7269832907e-02,error_detected,9021,True,1.0907649994e-05,100,0,1.0000000000e+00,0,0.0000000000e+00,2026-04-29T19:59:13.272277
5,1.0000000000e-02,0.0000000000e+00,1,3,1.9414919457e-02,error_detected,7524,True,1.1134445667e-03,100,0,1.0000000000e+00,0,0.0000000000e+00,2026-04-29T19:59:13.313272
5,1.0000000000e-02,0.0000000000e+00,1,3,2.1826447284e-02,error_detected,638193,True,5.8829784393e-05,9200,11,9.9880577570e-01,0,0.0000000000e+00,2026-04-29T19:59:15.767658
5,1.0000000000e-02,0.0000000000e+00,1,3,2.4537511066e-02,error_detected,179103,True,8.4966421127e-05,2900,6,9.9793530626e-01,0,0.0000000000e+00,2026-04-29T19:59:16.547937
5,1.0000000000e-02,0.0000000000e+00,1,3,2.7585316176e-02,error_detected,5607,True,3.7258863449e-04,100,0,1.0000000000e+00,0,0.0000000000e+00,2026-04-29T19:59:16.585158
5,1.0000000000e-02,0.0000000000e+00,1,3,3.1011689266e-02,error_detected,1074066,True,3.7044286728e-05,21600,32,9.9852071006e-01,0,0.0000000000e+00,2026-04-29T19:59:22.345146
5,1.0000000000e-02,0.0000000000e+00,1,3,3.4863652277e-02,error_detected,4353,True,1.3291835785e-04,100,0,1.0000000000e+00,0,0.0000000000e+00,2026-04-29T19:59:22.386954
5,1.0000000000e-02,0.0000000000e+00,1,3,3.9194067748e-02,error_detected,98967,True,5.8829784393e-05,2500,1,9.9960015994e-01,0,0.0000000000e+00,2026-04-29T19:59:23.065896
5,1.0000000000e-02,0.0000000000e+00,1,3,4.4062364278e-02,error_detected,3477,True,3.2466650009e-04,100,0,1.0000000000e+00,0,0.0000000000e+00,2026-04-29T19:59:23.104371
5,1.0000000000e-02,0.0000000000e+00,1,3,4.9535352090e-02,error_detected,3213,True,6.8199634552e-04,100,0,1.0000000000e+00,0,0.0000000000e+00,2026-04-29T19:59:23.142484
5,1.0000000000e-02,0.0000000000e+00,1,3,5.5688139909e-02,error_detected,2445,True,5.3820014000e-04,100,0,1.0000000000e+00,0,0.0000000000e+00,2026-04-29T19:59:23.180663
5,1.0000000000e-02,0.0000000000e+00,1,3,6.2605165720e-02,error_detected,2391,True,2.8653144836e-03,100,0,1.0000000000e+00,0,0.0000000000e+00,2026-04-29T19:59:23.219275
5,1.0000000000e-02,0.0000000000e+00,1,3,7.0381355549e-02,error_detected,2169,True,2.9350519180e-03,100,0,1.0000000000e+00,0,0.0000000000e+00,2026-04-29T19:59:23.257424
5,1.0000000000e-02,0.0000000000e+00,1,3,7.9123426190e-02,error_detected,2109,True,4.6846270561e-04,100,0,1.0000000000e+00,0,0.0000000000e+00,2026-04-29T19:59:23.295586
5,1.0000000000e-02,0.0000000000e+00,1,3,8.8951349731e-02,error_detected,1779,True,4.4232606888e-04,100,0,1.0000000000e+00,0,0.0000000000e+00,2026-04-29T19:59:23.333824
5,1.0000000000e-02,0.0000000000e+00,1,3,1.0000000000e-01,error_detected,5169,True,6.3407421112e-04,300,2,9.9337748344e-01,0,0.0000000000e+00,2026-04-29T19:59:23.421954
10,1.0000000000e-02,0.0000000000e+00,1,3,1.0000000000e-04,error_detected,750237537,False,2.0945441723e+00,49923,77,9.9846000000e-01,0,0.0000000000e+00,2026-04-29T19:54:07.755384
10,1.0000000000e-02,0.0000000000e+00,1,3,1.1242100351e-04,error_detected,663247911,False,2.0945441723e+00,49920,80,9.9840000000e-01,0,0.0000000000e+00,2026-04-29T19:54:28.078454
10,1.0000000000e-02,0.0000000000e+00,1,3,1.2638482029e-04,error_detected,594965514,False,2.0945441723e+00,49922,78,9.9844000000e-01,0,0.0000000000e+00,2026-04-29T19:54:48.207983
10,1.0000000000e-02,0.0000000000e+00,1,3,1.4208308325e-04,error_detected,528654555,False,2.5414118767e+00,49917,83,9.9834000000e-01,0,0.0000000000e+00,2026-04-29T19:55:07.950483
10,1.0000000000e-02,0.0000000000e+00,1,3,1.5973122801e-04,error_detected,467841321,False,2.0945441723e+00,49914,86,9.9828000000e-01,0,0.0000000000e+00,2026-04-29T19:55:27.210660
10,1.0000000000e-02,0.0000000000e+00,1,3,1.7957144944e-04,error_detected,416980797,False,2.5414118767e+00,49916,84,9.9832000000e-01,0,0.0000000000e+00,2026-04-29T19:55:45.896890
10,1.0000000000e-02,0.0000000000e+00,1,3,2.0187602547e-04,error_detected,371834718,False,2.5414118767e+00,49918,82,9.9836000000e-01,0,0.0000000000e+00,2026-04-29T19:56:03.746012
10,1.0000000000e-02,0.0000000000e+00,1,3,2.2695105367e-04,error_detected,330589191,False,2.5414118767e+00,49918,82,9.9836000000e-01,0,0.0000000000e+00,2026-04-29T19:56:20.399328
10,1.0000000000e-02,0.0000000000e+00,1,3,2.5514065200e-04,error_detected,294112068,False,2.5414118767e+00,49926,74,9.9852000000e-01,0,0.0000000000e+00,2026-04-29T19:56:33.803535
10,1.0000000000e-02,0.0000000000e+00,1,3,2.8683168133e-04,error_detected,262806066,False,2.0945441723e+00,49919,81,9.9838000000e-01,0,0.0000000000e+00,2026-04-29T19:56:47.195969
10,1.0000000000e-02,0.0000000000e+00,1,3,3.2245905453e-04,error_detected,956784,True,1.0907649994e-05,200,0,1.0000000000e+00,0,0.0000000000e+00,2026-04-29T19:56:47.294072
10,1.0000000000e-02,0.0000000000e+00,1,3,3.6251170500e-04,error_detected,207309102,False,2.0945441723e+00,49898,102,9.9796000000e-01,0,0.0000000000e+00,2026-04-29T19:57:00.953626
10,1.0000000000e-02,0.0000000000e+00,1,3,4.0753929659e-04,error_detected,184631064,False,2.0945441723e+00,49900,100,9.9800000000e-01,0,0.0000000000e+00,2026-04-29T19:57:14.433167
10,1.0000000000e-02,0.0000000000e+00,1,3,4.5815976691e-04,error_detected,347169,True,1.0907649994e-05,100,1,9.9009900990e-01,0,0.0000000000e+00,2026-04-29T19:57:14.483962
10,1.0000000000e-02,0.0000000000e+00,1,3,5.1506780762e-04,error_detected,145934664,False,2.0945441723e+00,49931,69,9.9862000000e-01,0,0.0000000000e+00,2026-04-29T19:57:27.984272
10,1.0000000000e-02,0.0000000000e+00,1,3,5.7904439806e-04,error_detected,129851529,False,2.5414118767e+00,49909,91,9.9818000000e-01,0,0.0000000000e+00,2026-04-29T19:57:40.972168
10,1.0000000000e-02,0.0000000000e+00,1,3,6.5096752305e-04,error_detected,115039365,False,2.0945441723e+00,49938,62,9.9876000000e-01,0,0.0000000000e+00,2026-04-29T19:57:54.460663
